code,section__exercise_set__slug,section__number,number,question_type,context_note,stem_jp,star_position,correct_order,explanation_vi
bt15-q05,bai-tap-15,1,5,mcq_blank,,____お好きなものを召し上がってください。,,,
bt15-q06,bai-tap-15,1,6,mcq_blank,,わざわざ____のに、留守をして申し訳ありません。,,,
bt15-q07,bai-tap-15,1,7,mcq_blank,,先生におかれましては、ますますご健勝のことと____。,,,
bt15-q08,bai-tap-15,1,8,mcq_blank,,後ほど係りの者がご用件を____ので、少々お待ちください。,,,
bt15-q09,bai-tap-15,1,9,mcq_blank,,"A「最近祖父の体調があまりよくなくて…。」
B「それは____。」",,,
bt15-q10,bai-tap-15,1,10,mcq_blank,,"A「何かお飲み物を____。」
B「ええ、ありがとうございます。」",,,
bt15-q11,bai-tap-15,1,11,mcq_blank,,創立50周年を記念しまして、パーティーを開きますので____。,,,
bt15-q12,bai-tap-15,1,12,mcq_blank,,どうぞ温かいうちに____。,,,
bt15-q13,bai-tap-15,1,13,mcq_blank,,午後6時までにご連絡いただければ、本日中に____。,,,
bt15-q14,bai-tap-15,1,14,mcq_blank,,すみません。この言葉の意味が分からないので____。,,,
bt15-q15,bai-tap-15,1,15,mcq_blank,,お名前は存じ上げておりますが、まだ____ことはございません。,,,
bt15-q16,bai-tap-15,1,16,mcq_blank,,昨日お送りいただいた資料にまちがいがありましたので____。,,,
bt15-q17,bai-tap-15,1,17,mcq_blank,,____、その後お変わりございませんか。,,,
bt15-q18,bai-tap-15,1,18,mcq_blank,,当社の製品を____ありがとうございます。,,,
bt15-q19,bai-tap-15,1,19,mcq_blank,,ご多忙中にもかかわらず、わざわざ____恐縮でございます。,,,
bt15-q20,bai-tap-15,1,20,mcq_blank,,突然急ぎの仕事が入ってしまったので、何人かの手を____いいですか。,,,
bt16-q01,bai-tap-16,1,1,mcq_blank,,先生が丁寧にご説明____ので、私にもよく分かりました。,,,
bt16-q02,bai-tap-16,1,2,mcq_blank,,皆さん、わざわざお出迎え____、ありがとうございます。,,,
bt16-q03,bai-tap-16,1,3,mcq_blank,,本日は雨の中、遠くまで____、ありがとうございました。,,,
bt16-q04,bai-tap-16,1,4,mcq_blank,,お客様、こちらの料理は醤油など何もつけずに、どうぞそのまま____。,,,
bt16-q05,bai-tap-16,1,5,mcq_blank,,お忙しいのにご連絡____、本当にすみませんでした。,,,
bt16-q06,bai-tap-16,1,6,mcq_blank,,「先生、私が荷物をお持ち____。」,,,
bt16-q07,bai-tap-16,1,7,mcq_blank,,"A「今度の旅行では、珍しい本を手に入れたんですよ。ちょっとお見せ____か。」
B「それはぜひお願いします。」",,,
bt16-q08,bai-tap-16,1,8,mcq_blank,,先生、この本をあさってまでお借り____よろしいでしょうか。,,,
bt16-q09,bai-tap-16,1,9,mcq_blank,,田中先生、最近先生が____ご本のことで、おうかがいしたいんですが。,,,
bt16-q10,bai-tap-16,1,10,mcq_blank,,ここでお待ち____ください。,,,
bt16-q11,bai-tap-16,1,11,mcq_blank,,先月引っ越しましたので、近くに____ときは、ぜひお立ち寄りください。,,,
bt16-q12,bai-tap-16,1,12,mcq_blank,,"A「じゃ、私、お先に失礼____いただきます。」
B「あ、おつかれさま。」",,,
bt16-q13,bai-tap-16,1,13,mcq_blank,,"A「課長、今日は熱があるので、____いただきたいのですが。」
B「はい、わかりました。じゃ、お大事に。」",,,
bt16-q14,bai-tap-16,1,14,mcq_blank,,お借りした本を楽しく____いただきました。,,,
bt16-q15,bai-tap-16,1,15,mcq_blank,,ドアのところに私の傘を____いいですか。,,,
bt16-q16,bai-tap-16,1,16,mcq_blank,（メールで）,田中です。先日お話があったスピーチの件なんですが、ぜひ私に____。,,,
bt16-q17,bai-tap-16,1,17,mcq_blank,,"A「この仕事、だれかやってくれないかなあ。」
B「だれもやる人がないから、私が____。」",,,
bt16-q18,bai-tap-16,1,18,mcq_blank,,"A「これが最近書いた本ですが、あなたに差し上げますから、どうぞお読みください。」
B「はい、____いただきます。」",,,
bt16-q19,bai-tap-16,1,19,mcq_blank,,このたび代表として国際会議に____いただくことになりました。,,,
bt16-q20,bai-tap-16,1,20,mcq_blank,,今日の午後はちょっと早めに____いただきたいのですが。,,,
bt16-q21,bai-tap-16,1,21,mcq_blank,,資料をコピーしたいんですが、コピー機を____よろしいですか。,,,
bt16-q22,bai-tap-16,1,22,mcq_blank,,私が皆様のご意見を____うえで、来週ご報告いたします。,,,
bt16-q23,bai-tap-16,1,23,mcq_blank,,本日は素晴らしい披露宴に____、ありがとうございます。,,,
bt16-q24,bai-tap-16,1,24,mcq_blank,,わざわざ宅配便でお送り____よろしかったのに。,,,
bt16-q25,bai-tap-16,1,25,mcq_blank,,外線に____場合は最初に0を押してください。,,,
bt16-q26,bai-tap-16,1,26,mcq_blank,,この件について皆様で____願いたいと思います。,,,
bt16-q27,bai-tap-16,1,27,mcq_blank,,シンポジウムに参加してくださるかどうか、先生のご意向を伺いに____,,,
bt16-q28,bai-tap-16,1,28,mcq_blank,,田中さんは来月こちらに____そうです。,,,
bt16-q29,bai-tap-16,1,29,mcq_blank,,ご質問がなければ、この記者会見は____。,,,
bt16-q30,bai-tap-16,1,30,mcq_blank,,決まりを守らない方が当アパートより____。,,,
bt16-q31,bai-tap-16,1,31,mcq_blank,,お酒はほとんど何でも取りそろえて____。,,,
bt16-q32,bai-tap-16,1,32,mcq_blank,,お気に____場合、料金はおただきません。,,,
